DEPLOYMENT_ID,DEPLOYMENT_TIMESTAMP,DEPLOYED_BY,DEPLOYMENT_SOURCE,DEPLOYMENT_STATUS
1,2026-08-27 13:19:26.467,NABILA26,GitHub Actions,SUCCESS
2,2026-08-27 13:55:43.871,MERC_GITHUB_CI,GitHub Actions,SUCCESS
3,2026-08-27 13:57:10.172,MERC_GITHUB_CI,GitHub Actions,SUCCESS
4,2026-08-27 15:45:10.763,MERC_GITHUB_CI,GitHub Actions,SUCCESS
101,2026-08-28 14:19:37.704,MERC_GITHUB_CI,GitHub Actions,SUCCESS
102,2026-08-28 16:05:26.871,MERC_GITHUB_CI,GitHub Actions,SUCCESS
103,2026-08-28 16:37:11.553,MERC_GITHUB_CI,GitHub Actions,SUCCESS
201,2026-09-01 08:57:42.859,MERC_GITHUB_CI,GitHub Actions,SUCCESS
301,2026-09-01 15:18:45.106,MERC_GITHUB_CI,GitHub Actions,SUCCESS
401,2026-09-03 09:23:46.469,MERC_GITHUB_CI,GitHub Actions,SUCCESS
