SAFETY_KEY,VEHICLE_ID,VEHICLE_DESCRIPTION,NHTSA_MODEL,UK_MODEL
62,7245,2013 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
178,12470,2018 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
100,9679,2015 Mercedes-Benz C-Class 4 DR 4WD,C-CLASS," C Class"
235,15051,2020 Mercedes-Benz C-Class 2 DR RWD,C-CLASS," C Class"
105,9684,2015 Mercedes-Benz Cl-Class 2 DR RWD,CL-CLASS," CL Class"
86,8621,2014 Mercedes-Benz S-CLASS 4 DR RWD,S-CLASS," S Class"
170,11689,2017 Mercedes-Benz S-Class C RWD,S-CLASS," S Class"
143,11190,2017 Mercedes-Benz GLE-Class SUV RWD,GLE-CLASS," GLE Class"
161,11674,2017 Mercedes-Benz E-Class C 4WD,E-CLASS," E Class"
89,8625,2014 Mercedes-Benz CL-CLASS 2 DR 4WD,CL-CLASS," CL Class"
28,2354,2007 Mercedes-Benz E-Class Wagon 4-DR. w/SAB,E-CLASS," E Class"
247,15073,2020 Mercedes-Benz GLE-Class SUV RWD,GLE-CLASS," GLE Class"
202,12497,2018 Mercedes-Benz GLE-Class SUV 4WD,GLE-CLASS," GLE Class"
154,11667,2017 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
144,11191,2017 Mercedes-Benz GLE-Class SUV 4WD,GLE-CLASS," GLE Class"
30,2443,2008 Mercedes-Benz E-Class 4-DR. w/SAB,E-CLASS," E Class"
245,15068,2020 Mercedes-Benz GLB-Class SUV FWD,GLB-CLASS," GLB Class"
87,8622,2014 Mercedes-Benz S-CLASS 4 DR 4WD,S-CLASS," S Class"
121,10209,2016 Mercedes-Benz E-CLASS SW 4WD,E-CLASS," E Class"
122,10210,2016 Mercedes-Benz E-CLASS SW RWD,E-CLASS," E Class"
205,14032,2019 Mercedes-Benz A-Class 4 DR FWD,A-CLASS," A Class"
35,4417,2002 Mercedes-Benz SLK w/SAB,SLK," SLK"
78,8336,2014 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
236,15053,2020 Mercedes-Benz E-Class 4 DR RWD,E-CLASS," E Class"
60,7243,2013 Mercedes-Benz C-Class 4 DR RWD,C-CLASS," C Class"
171,11692,2017 Mercedes-Benz SL-Class C RWD,SL-CLASS," SL CLASS"
162,11675,2017 Mercedes-Benz GLA-Class 4 DR 4WD,GLA-CLASS," GLA Class"
220,14064,2019 Mercedes-Benz E-Class 2 DR 4WD,E-CLASS," E Class"
191,12483,2018 Mercedes-Benz S-Class 4 DR RWD,S-CLASS," S Class"
238,15057,2020 Mercedes-Benz CLS-Class 4 DR RWD,CLS-CLASS," CLS Class"
14,1212,2004 Mercedes-Benz SLK w/SAB,SLK," SLK"
228,15044,2019 Mercedes-Benz E-Class SW RWD,E-CLASS," E Class"
