CAR_ID,MODEL_KEY,MODEL,YEAR_KEY,PRICE,MILEAGE,TAX,MPG,ENGINE_SIZE,TRANSMISSION,FUEL_TYPE
1,1,180,2014,10799,39240,20,72.4,1.5,MANUAL,DIESEL
2,2,200,2018,19495,15113,145,64.2,2.2,MANUAL,DIESEL
3,3,220,2018,19995,9814,145,61.4,2,AUTOMATIC,DIESEL
4,4,230,2007,4500,94000,520,29.4,0,AUTOMATIC,PETROL
5,5,A Class,2003,650,109090,235,40,1.4,MANUAL,PETROL
6,5,A Class,2006,2880,66000,160,52.3,2,AUTOMATIC,DIESEL
7,5,A Class,2007,1800,84000,200,42.8,1.5,AUTOMATIC,PETROL
8,5,A Class,2007,2478,81000,160,49.6,2,AUTOMATIC,DIESEL
9,5,A Class,2007,2795,79485,200,45.6,1.5,MANUAL,PETROL
10,5,A Class,2007,2995,60000,115,57.6,2,MANUAL,DIESEL
11,5,A Class,2010,1350,116126,145,54.3,2,MANUAL,DIESEL
12,5,A Class,2011,3440,74000,150,54.3,2,MANUAL,DIESEL
13,5,A Class,2011,4995,70000,240,42.8,1.7,AUTOMATIC,PETROL
14,5,A Class,2011,5195,60000,165,52.3,2,AUTOMATIC,DIESEL
15,5,A Class,2011,5499,52235,205,41.5,1.5,AUTOMATIC,PETROL
16,5,A Class,2012,9199,44387,0,74.3,1.5,MANUAL,DIESEL
17,5,A Class,2012,11940,46000,30,64.2,2.1,AUTOMATIC,DIESEL
18,5,A Class,2013,7300,54000,30,65.7,1.8,AUTOMATIC,DIESEL
19,5,A Class,2013,7992,106000,30,62.8,1.8,MANUAL,DIESEL
20,5,A Class,2013,8491,97000,30,65.7,1.8,AUTOMATIC,DIESEL
21,5,A Class,2013,8491,97000,30,65.7,1.8,AUTOMATIC,DIESEL
22,5,A Class,2013,8492,105000,30,62.8,1.8,MANUAL,DIESEL
23,5,A Class,2013,8495,74000,0,74.3,1.5,MANUAL,DIESEL
24,5,A Class,2013,8498,75006,20,72.4,1.5,MANUAL,DIESEL
25,5,A Class,2013,8500,69031,125,51.4,1.6,MANUAL,PETROL
26,5,A Class,2013,8699,70243,20,72.4,1.5,MANUAL,DIESEL
27,5,A Class,2013,8975,60000,20,72.4,1.5,MANUAL,DIESEL
28,5,A Class,2013,9259,74149,20,72.4,1.5,MANUAL,DIESEL
29,5,A Class,2013,9450,50380,125,51.4,1.6,MANUAL,PETROL
30,5,A Class,2013,9450,53000,30,62.8,1.8,MANUAL,DIESEL
31,5,A Class,2013,9480,63922,30,65.7,1.8,SEMI-AUTO,DIESEL
32,5,A Class,2013,9480,74114,20,72.4,1.5,MANUAL,DIESEL
33,5,A Class,2013,9498,80158,30,62.8,1.8,MANUAL,DIESEL
34,5,A Class,2013,9499,67581,30,65.7,1.8,AUTOMATIC,DIESEL
35,5,A Class,2013,9595,57000,20,72.4,1.5,MANUAL,DIESEL
36,5,A Class,2013,9608,41966,0,74.3,1.5,MANUAL,DIESEL
37,5,A Class,2013,9691,57530,145,49.6,1.6,MANUAL,PETROL
38,5,A Class,2013,9770,66484,145,50.4,1.6,SEMI-AUTO,PETROL
39,5,A Class,2013,9795,72000,20,70.6,1.5,MANUAL,DIESEL
40,5,A Class,2013,9950,54000,150,48.7,1.6,MANUAL,PETROL
41,5,A Class,2013,9980,49059,30,65.7,1.8,SEMI-AUTO,DIESEL
42,5,A Class,2013,9990,32713,0,74.3,1.5,MANUAL,DIESEL
