VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
4714,2003," SL CLASS",SL-CLASS,2003 Mercedes-Benz SL-Class Convertible w/SAB,,,,,0,114,4,1,Standard,No,No
4715,2003," SLK",SLK,2003 Mercedes-Benz SLK w/SAB,,,,,0,15,1,1,Standard,No,No
1484,2005," C Class",C-CLASS,2005 Mercedes-Benz C-Class 4-DR. w/SAB,,,,,0,140,6,1,Standard,No,No
1407,2005," C Class",C-CLASS,2005 Mercedes-Benz C-Class 2-DR w/SAB,,,,,0,140,6,1,Standard,No,No
1485,2005," E Class",E-CLASS,2005 Mercedes-Benz E-Class 4-DR. w/SAB,,,,,0,532,6,3,Standard,No,No
1415,2005," S Class",S-CLASS,2005 Mercedes-Benz S-Class 4-DR,,,,,0,26,1,0,Standard,No,No
1416,2005," SL CLASS",SL-CLASS,2005 Mercedes-Benz SL-Class C-DR,,,,,0,29,2,0,Standard,No,No
8618,2014," C Class",C-CLASS,2014 Mercedes-Benz C-CLASS 2 DR 4WD,,,,,0,284,6,1,Standard,Optional,No
8617,2014," C Class",C-CLASS,2014 Mercedes-Benz C-CLASS 2 DR RWD,,,,,0,284,6,1,Standard,Optional,No
8335,2014," C Class",C-CLASS,2014 Mercedes-Benz C-Class 4 DR AWD,5,4,5,4,0.105,284,6,1,Standard,Optional,No
8334,2014," C Class",C-CLASS,2014 Mercedes-Benz C-Class 4 DR RWD,5,4,5,4,0.105,284,6,1,Standard,Optional,No
8625,2014," CL Class",CL-CLASS,2014 Mercedes-Benz CL-CLASS 2 DR 4WD,,,,,0,0,0,0,Standard,No,No
8624,2014," CL Class",CL-CLASS,2014 Mercedes-Benz CL-CLASS 2 DR RWD,,,,,0,0,0,0,Standard,No,No
8614,2014," CLA Class",CLA-CLASS,2014 Mercedes-Benz CLA-CLASS 4 DR 4WD,,,,,0,193,6,2,Standard,Standard,Optional
8613,2014," CLA Class",CLA-CLASS,2014 Mercedes-Benz CLA-CLASS 4 DR FWD,,,,,0,193,6,2,Standard,Standard,Optional
