SOURCE_FILE,INGESTED_AT,MODEL_YEAR,NHTSA_MODEL,UK_MODEL,VEHICLE_ID,VEHICLE_DESCRIPTION,OVERALL_RATING,OVERALL_FRONT_CRASH_RATING,FRONT_CRASH_DRIVER_RATING,FRONT_CRASH_PASSENGER_RATING,OVERALL_SIDE_CRASH_RATING,SIDE_CRASH_DRIVER_RATING,SIDE_CRASH_PASSENGER_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,SIDE_POLE_CRASH_RATING,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,NHTSA_MODEL_YEAR,NHTSA_MAKE,NHTSA_MODEL_FROM_RATING
nhtsa_safety_2003.json,2026-08-28 16:05:12.636,2003,SL-CLASS," SL CLASS",4714,2003 Mercedes-Benz SL-Class Convertible w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,114,4,1,2003,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2003.json,2026-08-28 16:05:12.636,2003,SLK," SLK",4715,2003 Mercedes-Benz SLK w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,15,1,1,2003,MERCEDES-BENZ,SLK
nhtsa_safety_2005.json,2026-08-28 16:05:12.636,2005,C-CLASS," C Class",1484,2005 Mercedes-Benz C-Class 4-DR. w/SAB,Not Rated,Not Rated,4,4,Not Rated,5,5,Not Rated,0,Not Rated,Standard,No,No,140,6,1,2005,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2005.json,2026-08-28 16:05:12.636,2005,C-CLASS," C Class",1407,2005 Mercedes-Benz C-Class 2-DR w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,140,6,1,2005,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2005.json,2026-08-28 16:05:12.636,2005,E-CLASS," E Class",1485,2005 Mercedes-Benz E-Class 4-DR. w/SAB,Not Rated,Not Rated,4,4,Not Rated,5,5,Not Rated,0,Not Rated,Standard,No,No,532,6,3,2005,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2005.json,2026-08-28 16:05:12.636,2005,S-CLASS," S Class",1415,2005 Mercedes-Benz S-Class 4-DR,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,26,1,0,2005,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2005.json,2026-08-28 16:05:12.636,2005,SL-CLASS," SL CLASS",1416,2005 Mercedes-Benz SL-Class C-DR,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,29,2,0,2005,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,C-CLASS," C Class",8618,2014 Mercedes-Benz C-CLASS 2 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,No,284,6,1,2014,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,C-CLASS," C Class",8617,2014 Mercedes-Benz C-CLASS 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,No,284,6,1,2014,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,C-CLASS," C Class",8335,2014 Mercedes-Benz C-Class 4 DR AWD,5,4,4,4,5,5,5,4,0.105,5,Standard,Optional,No,284,6,1,2014,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,C-CLASS," C Class",8334,2014 Mercedes-Benz C-Class 4 DR RWD,5,4,4,4,5,5,5,4,0.105,5,Standard,Optional,No,284,6,1,2014,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,CL-CLASS," CL Class",8625,2014 Mercedes-Benz CL-CLASS 2 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,0,0,0,2014,MERCEDES-BENZ,CL-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,CL-CLASS," CL Class",8624,2014 Mercedes-Benz CL-CLASS 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,0,0,0,2014,MERCEDES-BENZ,CL-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,CLA-CLASS," CLA Class",8614,2014 Mercedes-Benz CLA-CLASS 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,193,6,2,2014,MERCEDES-BENZ,CLA-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,CLA-CLASS," CLA Class",8613,2014 Mercedes-Benz CLA-CLASS 4 DR FWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,193,6,2,2014,MERCEDES-BENZ,CLA-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,CLS-CLASS," CLS Class",8620,2014 Mercedes-Benz CLS-CLASS 2 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,11,4,1,2014,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,CLS-CLASS," CLS Class",8619,2014 Mercedes-Benz CLS-CLASS 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,11,4,1,2014,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8634,2014 Mercedes-Benz E-CLASS SW 4WD,4,4,4,4,5,5,5,5,0.099,3,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8633,2014 Mercedes-Benz E-CLASS SW RWD,4,4,4,4,5,5,5,5,0.099,3,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8628,2014 Mercedes-Benz E-CLASS 2 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
