MODEL,YEAR,PRICE,TRANSMISSION,MILEAGE,FUEL_TYPE,TAX,MPG,ENGINE_SIZE
SLK,2005,5200,AUTOMATIC,63000,PETROL,325,32.1,1.8
S Class,2017,34948,AUTOMATIC,27000,HYBRID,20,61.4,2.1
SL CLASS,2016,49948,AUTOMATIC,6200,PETROL,555,28,5.5
G Class,2016,61948,AUTOMATIC,16000,PETROL,325,30.4,4
G Class,2016,73948,AUTOMATIC,4000,PETROL,325,30.1,4
SL CLASS,2011,149948,AUTOMATIC,3000,PETROL,570,21.4,6.2
GLE Class,2018,30948,AUTOMATIC,16000,DIESEL,145,47.9,2.1
S Class,2012,10948,AUTOMATIC,107000,PETROL,265,36.7,3.5
G Class,2019,139948,AUTOMATIC,12000,PETROL,145,21.4,4
GLA Class,2017,19750,AUTOMATIC,15258,DIESEL,30,64.2,2.1
A Class,2020,32980,AUTOMATIC,606,PETROL,145,35.8,2
A Class,2020,26980,AUTOMATIC,1000,DIESEL,145,62.8,1.5
B Class,2019,23750,AUTOMATIC,278,DIESEL,145,55.4,2
GLC Class,2019,67980,AUTOMATIC,5500,PETROL,145,21.7,4
GLA Class,2016,18980,AUTOMATIC,41713,DIESEL,125,56.6,2.1
B Class,2017,15890,AUTOMATIC,24841,DIESEL,150,68.9,1.5
C Class,2017,19890,AUTOMATIC,30281,DIESEL,150,60.1,2.1
GLE Class,2019,56800,AUTOMATIC,2483,PETROL,145,29.5,3
B Class,2017,17513,AUTOMATIC,14128,DIESEL,150,68.9,2.1
C Class,2014,15701,AUTOMATIC,20498,DIESEL,20,64.2,2.1
C Class,2019,26601,AUTOMATIC,9949,DIESEL,150,64.2,2
C Class,2016,17672,AUTOMATIC,31656,DIESEL,30,64.2,2.1
E Class,2015,20769,AUTOMATIC,21874,DIESEL,165,51.4,3
E Class,2017,22270,AUTOMATIC,13398,DIESEL,165,52.3,3
GL Class,2015,34129,AUTOMATIC,13581,DIESEL,330,36.2,3
SL CLASS,2017,20601,AUTOMATIC,16730,DIESEL,150,70.6,2.1
CLS Class,2016,25077,AUTOMATIC,13887,DIESEL,165,49.6,3
SL CLASS,2017,21609,AUTOMATIC,2780,DIESEL,30,70.6,2.1
SL CLASS,2018,22914,AUTOMATIC,8725,PETROL,145,47.9,2
C Class,2016,19328,AUTOMATIC,25042,DIESEL,30,64.2,2.1
C Class,2019,29546,AUTOMATIC,7990,DIESEL,145,54.3,2
GLC Class,2019,35611,AUTOMATIC,26153,DIESEL,145,45.6,3
C Class,2017,15311,AUTOMATIC,31371,DIESEL,20,65.7,2.1
A Class,2020,28128,AUTOMATIC,2563,PETROL,145,47.9,1.3
A Class,2019,23184,MANUAL,1173,PETROL,145,44.8,1.3
A Class,2017,15787,AUTOMATIC,24092,DIESEL,20,70.6,2.1
GLC Class,2018,30682,AUTOMATIC,14517,DIESEL,145,56.5,2.1
A Class,2019,25701,AUTOMATIC,11000,DIESEL,150,56.5,2
C Class,2020,31790,AUTOMATIC,3500,PETROL,145,64.2,2
A Class,2019,25190,AUTOMATIC,2471,DIESEL,145,56.5,2
SLK,2014,15990,AUTOMATIC,43955,PETROL,205,43.5,1.8
CLS Class,2018,34990,AUTOMATIC,18837,DIESEL,150,47.9,2.9
GLC Class,2019,30799,AUTOMATIC,9886,DIESEL,145,41.5,2.1
C Class,2017,19743,AUTOMATIC,16509,DIESEL,145,61.4,2.1
C Class,2019,24055,AUTOMATIC,7475,DIESEL,145,61.4,2
B Class,2019,20945,AUTOMATIC,13661,PETROL,145,45.6,1.3
C Class,2019,28524,AUTOMATIC,8263,DIESEL,145,57.7,2
E Class,2019,24541,AUTOMATIC,10279,DIESEL,145,67.3,2
E Class,2017,20880,AUTOMATIC,37000,DIESEL,30,65.7,2
A Class,2006,2880,AUTOMATIC,66000,DIESEL,160,52.3,2
CLC Class,2010,5880,AUTOMATIC,40000,PETROL,300,34,1.8
C Class,2015,14940,AUTOMATIC,43000,DIESEL,20,64.2,2.1
SLK,2004,4890,AUTOMATIC,46000,PETROL,330,28,3.5
SL CLASS,2010,16990,AUTOMATIC,18000,PETROL,555,29.1,3.5
B Class,2010,3890,AUTOMATIC,71000,PETROL,240,40.9,1.5
B Class,2011,3990,AUTOMATIC,90000,PETROL,240,40.9,1.5
A Class,2011,3440,MANUAL,74000,DIESEL,150,54.3,2
GLE Class,2020,48995,AUTOMATIC,3000,DIESEL,145,36.7,2
SLK,2008,5980,AUTOMATIC,60000,PETROL,280,34.4,1.8
E Class,2015,13990,AUTOMATIC,52000,DIESEL,125,60.1,2.1
CLA Class,2016,14480,AUTOMATIC,84000,PETROL,200,42.8,2
E Class,2010,6980,MANUAL,79000,PETROL,300,35.3,1.8
C Class,2014,11290,AUTOMATIC,48000,DIESEL,145,56.5,2.1
E Class,2011,5740,MANUAL,115000,DIESEL,160,52.3,2.1
V Class,2017,31980,AUTOMATIC,16000,DIESEL,145,44.8,2.1
CLA Class,2014,15990,AUTOMATIC,45000,DIESEL,30,62.8,2.1
B Class,2015,11240,AUTOMATIC,47000,DIESEL,125,56.5,2.1
GLC Class,2019,37980,AUTOMATIC,6200,PETROL,145,34,3
C Class,2019,28980,AUTOMATIC,5500,DIESEL,145,60.1,2
C Class,2019,23280,AUTOMATIC,3908,PETROL,145,44.1,1.5
C Class,2019,32980,AUTOMATIC,2000,DIESEL,145,64.2,2
M Class,2008,5990,AUTOMATIC,110000,DIESEL,555,28.8,3
A Class,2013,7300,AUTOMATIC,54000,DIESEL,30,65.7,1.8
