FUEL_TYPE,MODEL,LISTING_COUNT,AVG_PRICE
DIESEL,G Class,5,62087.400000
DIESEL,GLS Class,71,46525.309859
DIESEL,S Class,137,39569.197080
DIESEL,GLE Class,406,38687.985222
DIESEL,GLB Class,19,37673.526316
DIESEL,V Class,207,32446.623188
DIESEL,GLC Class,794,30447.642317
DIESEL,X-CLASS,82,29695.109756
DIESEL,CLS Class,227,25978.220264
DIESEL,E Class,1742,23838.658439
DIESEL,C Class,2252,21898.432948
DIESEL,GL Class,106,21546.433962
DIESEL,220,1,19995.000000
DIESEL,CL Class,296,19554.706081
DIESEL,200,1,19495.000000
DIESEL,SL CLASS,77,19480.077922
DIESEL,GLA Class,637,19390.720565
DIESEL,CLA Class,49,18234.734694
DIESEL,B Class,388,17991.997423
DIESEL,M Class,76,17166.697368
DIESEL,A Class,1558,16964.937741
DIESEL,SLK,49,14064.469388
DIESEL,180,1,10799.000000
DIESEL,R Class,2,9474.500000
DIESEL,CLK,4,2941.250000
HYBRID,S Class,9,40459.555556
HYBRID,E Class,33,36289.787879
HYBRID,GLE Class,3,33172.333333
HYBRID,A Class,4,31465.500000
HYBRID,C Class,124,17804.548387
OTHER,GLE Class,1,31990.000000
OTHER,C Class,5,20649.800000
OTHER,GLA Class,1,18700.000000
PETROL,G Class,10,117357.600000
PETROL,GLS Class,3,63649.666667
PETROL,S Class,51,60681.333333
PETROL,GLE Class,51,52665.333333
PETROL,GLC Class,166,44800.000000
PETROL,CLS Class,10,44108.000000
PETROL,E Class,178,39554.544944
PETROL,SL CLASS,183,36156.114754
PETROL,C Class,1366,27204.950220
PETROL,A Class,999,24301.884885
PETROL,CLA Class,37,24281.054054
PETROL,CL Class,215,24056.641860
PETROL,GLA Class,209,23596.344498
PETROL,M Class,3,22413.333333
PETROL,B Class,203,20626.256158
PETROL,GL Class,15,20040.200000
PETROL,SLK,46,7296.434783
PETROL,CLC Class,3,5516.666667
PETROL,230,1,4500.000000
PETROL,CLK,3,3260.000000
