MODEL,FUEL_TYPE,LISTING_COUNT,AVG_PRICE,MEDIAN_PRICE,AVG_MILEAGE
A Class,DIESEL,1558,16964.937741,16296.500,26282.403081
A Class,PETROL,999,24301.884885,21658.000,12824.481481
B Class,DIESEL,388,17991.997423,16397.000,19576.420103
B Class,PETROL,203,20626.256158,21890.000,12763.625616
C Class,DIESEL,2252,21898.432948,20940.000,25593.532416
C Class,PETROL,1366,27204.950220,25697.000,14243.538799
CL Class,DIESEL,296,19554.706081,18193.000,29269.375000
CL Class,PETROL,215,24056.641860,24799.000,19361.730233
CLA Class,DIESEL,49,18234.734694,16850.000,38987.265306
CLA Class,PETROL,37,24281.054054,24990.000,17419.216216
CLS Class,DIESEL,227,25978.220264,21995.000,28323.775330
E Class,DIESEL,1742,23838.658439,21999.000,25303.299656
E Class,PETROL,178,39554.544944,42424.500,13227.258427
GL Class,DIESEL,106,21546.433962,17999.000,35228.943396
GLA Class,DIESEL,637,19390.720565,18780.000,26522.356358
GLA Class,PETROL,209,23596.344498,23790.000,12748.306220
GLC Class,DIESEL,794,30447.642317,29750.000,18264.001259
GLC Class,PETROL,166,44800.000000,42372.000,8295.542169
GLE Class,DIESEL,406,38687.985222,34862.500,18230.204433
GLE Class,PETROL,51,52665.333333,53989.000,11226.058824
GLS Class,DIESEL,71,46525.309859,43498.000,15701.732394
M Class,DIESEL,76,17166.697368,18147.500,59673.381579
S Class,DIESEL,137,39569.197080,39490.000,21683.598540
S Class,PETROL,51,60681.333333,57752.000,14348.960784
SL CLASS,DIESEL,77,19480.077922,19498.000,19877.220779
SL CLASS,PETROL,183,36156.114754,32250.000,13293.579235
SLK,DIESEL,49,14064.469388,14400.000,36493.591837
SLK,PETROL,46,7296.434783,5245.000,62056.130435
V Class,DIESEL,207,32446.623188,31995.000,17486.062802
X-CLASS,DIESEL,82,29695.109756,28950.000,8760.609756
