MODEL,YEAR_KEY,FUEL_TYPE,LISTING_COUNT,AVG_PRICE,MEDIAN_PRICE,AVG_MILEAGE
A Class,2013,DIESEL,53,10345.452830,10241.000,58892.075472
A Class,2013,PETROL,27,12292.407407,11690.000,37539.777778
A Class,2014,DIESEL,101,11451.059406,11353.000,49666.663366
A Class,2014,PETROL,23,13940.347826,12950.000,42384.130435
A Class,2015,DIESEL,124,12386.596774,12272.000,47297.685484
A Class,2015,PETROL,25,18888.920000,18495.000,29112.320000
A Class,2016,DIESEL,327,14535.510703,14580.000,36829.740061
A Class,2016,PETROL,80,18627.437500,16450.000,26985.075000
A Class,2017,DIESEL,310,15674.809677,15790.000,27533.767742
A Class,2017,PETROL,156,20355.615385,16661.500,20216.570513
A Class,2018,DIESEL,174,18176.643678,18000.000,14749.620690
A Class,2018,PETROL,165,23401.709091,19490.000,13156.163636
A Class,2019,DIESEL,399,21985.709273,22299.000,7874.117794
A Class,2019,PETROL,346,28230.736994,23500.000,5573.453757
A Class,2020,DIESEL,62,25867.016129,25462.000,1789.435484
A Class,2020,PETROL,172,28152.965116,25879.000,1679.401163
B Class,2014,DIESEL,27,9503.333333,9695.000,45986.740741
B Class,2015,DIESEL,24,11851.625000,11770.000,37416.750000
B Class,2016,DIESEL,38,13059.605263,12950.000,33232.184211
B Class,2017,DIESEL,77,14362.844156,13999.000,22188.272727
B Class,2018,DIESEL,28,17223.571429,17498.500,11178.035714
B Class,2019,DIESEL,135,24770.540741,24589.000,4347.022222
B Class,2019,PETROL,161,21994.285714,21990.000,10015.173913
B Class,2020,DIESEL,31,25621.096774,25487.000,1877.967742
C Class,2013,DIESEL,41,9864.219512,9750.000,66209.853659
C Class,2013,PETROL,22,13438.681818,11425.000,45068.500000
C Class,2014,DIESEL,107,13619.149533,13799.000,52154.663551
C Class,2014,PETROL,26,15859.769231,14245.500,33455.115385
C Class,2015,DIESEL,229,15030.209607,15142.000,48433.751092
C Class,2015,PETROL,46,16574.934783,14294.000,38024.282609
C Class,2016,DIESEL,371,17624.986523,17699.000,35894.048518
C Class,2016,PETROL,89,22792.741573,20200.000,25886.089888
C Class,2017,DIESEL,425,19635.185882,19399.000,28879.708235
C Class,2017,PETROL,176,24674.301136,22997.000,21961.761364
C Class,2018,DIESEL,224,23162.629464,22925.000,16631.575893
C Class,2018,PETROL,135,25446.133333,23399.000,12834.948148
C Class,2019,DIESEL,742,28611.022911,28980.000,7213.719677
C Class,2019,PETROL,808,29938.341584,26985.000,6969.599010
C Class,2020,DIESEL,73,33517.726027,32980.000,1692.575342
C Class,2020,PETROL,34,44109.176471,39995.000,2199.147059
CL Class,2014,DIESEL,23,15385.347826,15250.000,43453.521739
CL Class,2015,DIESEL,46,16551.608696,16996.500,37788.108696
CL Class,2015,PETROL,26,16678.538462,15996.500,41350.423077
CL Class,2016,DIESEL,69,17228.869565,17299.000,39903.536232
CL Class,2016,PETROL,24,19960.041667,18757.000,32063.916667
CL Class,2017,DIESEL,67,18585.328358,18500.000,28419.507463
CL Class,2017,PETROL,29,22890.482759,20352.000,23060.689655
CL Class,2018,DIESEL,21,20313.333333,19990.000,19588.952381
CL Class,2019,DIESEL,62,26046.080645,26099.000,11327.080645
CL Class,2019,PETROL,78,28721.461538,27299.000,4151.474359
CL Class,2020,PETROL,21,30783.619048,28995.000,2324.952381
CLS Class,2015,DIESEL,26,18723.269231,18835.000,39670.307692
CLS Class,2016,DIESEL,59,20969.440678,20990.000,31245.101695
CLS Class,2017,DIESEL,27,22074.000000,21900.000,31912.148148
CLS Class,2018,DIESEL,22,32228.227273,33000.000,13035.272727
CLS Class,2019,DIESEL,58,41098.413793,40315.500,6004.931034
E Class,2013,DIESEL,63,12218.507937,11990.000,56471.587302
E Class,2014,DIESEL,61,13153.606557,13000.000,53818.180328
E Class,2015,DIESEL,141,15805.609929,15637.000,45234.992908
E Class,2016,DIESEL,252,18808.876984,18901.000,34692.968254
E Class,2017,DIESEL,396,21000.090909,20989.500,28647.421717
E Class,2018,DIESEL,188,25468.946809,24130.000,17308.882979
E Class,2018,PETROL,23,39632.913043,33299.000,9860.260870
E Class,2019,DIESEL,558,31417.053763,29514.500,8423.512545
E Class,2019,PETROL,101,45386.267327,44999.000,5020.623762
E Class,2020,DIESEL,51,41046.235294,40411.000,2041.196078
GL Class,2015,DIESEL,36,20367.944444,17337.000,38804.833333
GL Class,2016,DIESEL,35,23086.200000,18499.000,31982.685714
GLA Class,2014,DIESEL,42,15214.976190,15498.000,43887.952381
GLA Class,2015,DIESEL,104,16518.480769,16492.500,39119.538462
GLA Class,2016,DIESEL,156,17817.211538,17990.500,32563.006410
GLA Class,2017,DIESEL,136,18962.000000,19186.000,27156.867647
GLA Class,2017,PETROL,30,21243.200000,19348.000,22661.666667
GLA Class,2018,DIESEL,80,21838.112500,21895.000,15572.912500
GLA Class,2018,PETROL,25,22474.720000,20822.000,15376.600000
GLA Class,2019,DIESEL,118,24170.186441,23820.500,8127.279661
GLA Class,2019,PETROL,75,23847.866667,24049.000,8380.920000
GLA Class,2020,PETROL,50,26515.300000,26885.000,1603.080000
GLC Class,2016,DIESEL,142,24175.140845,23999.000,33780.183099
GLC Class,2017,DIESEL,177,26634.395480,26989.000,30082.480226
GLC Class,2018,DIESEL,99,28934.191919,28982.000,16370.474747
GLC Class,2019,DIESEL,317,34654.072555,33990.000,6980.599369
GLC Class,2019,PETROL,76,47942.092105,45190.000,5976.828947
GLC Class,2020,DIESEL,48,40191.270833,39997.000,3079.645833
GLC Class,2020,PETROL,50,46325.780000,43745.000,2744.720000
GLE Class,2016,DIESEL,87,28790.103448,28299.000,31691.114943
GLE Class,2017,DIESEL,104,30110.028846,28998.000,24578.480769
GLE Class,2018,DIESEL,45,35498.866667,33999.000,18451.466667
GLE Class,2019,DIESEL,123,50628.195122,49950.000,5709.788618
GLE Class,2019,PETROL,22,58834.545455,56596.000,6427.500000
GLE Class,2020,DIESEL,35,54959.457143,55290.000,2789.885714
GLS Class,2017,DIESEL,21,39929.000000,38990.000,19949.380952
GLS Class,2019,DIESEL,20,52499.050000,47980.000,10088.050000
M Class,2015,DIESEL,26,20943.500000,20499.000,43664.961538
S Class,2015,DIESEL,22,26673.727273,27038.000,32613.090909
S Class,2019,DIESEL,52,54329.096154,54992.000,4874.307692
SL CLASS,2016,DIESEL,33,18488.787879,18690.000,24776.090909
SL CLASS,2016,PETROL,20,31989.200000,33440.000,23063.700000
SL CLASS,2017,DIESEL,43,20158.697674,20298.000,16400.255814
SL CLASS,2017,PETROL,33,25749.424242,20998.000,20907.969697
SL CLASS,2019,PETROL,92,43683.652174,34379.500,3235.565217
V Class,2018,DIESEL,71,24559.676056,20498.000,21314.366197
V Class,2019,DIESEL,94,38950.106383,43940.000,5830.148936
X-CLASS,2018,DIESEL,21,30401.857143,28990.000,14463.619048
X-CLASS,2019,DIESEL,51,29346.450980,28945.000,5160.980392
